epoch,dice_score,loss,lr,val_dice_score,val_loss
0,0.5956854224205017,0.4043138921260834,0.01,0.5781061053276062,0.4218938946723938
1,0.6651120185852051,0.3348881006240845,0.01,0.6757999658584595,0.32419976592063904
2,0.6909664869308472,0.3090328574180603,0.01,0.663774311542511,0.3362254500389099
3,0.722147524356842,0.2778528332710266,0.0009999999,0.727952778339386,0.2720470428466797
4,0.732605516910553,0.26739302277565,0.0009999999,0.7335687875747681,0.26643165946006775
5,0.738978385925293,0.2610227167606354,0.0009999999,0.7351290583610535,0.26487088203430176
6,0.7440482974052429,0.25595155358314514,0.0009999999,0.7416137456893921,0.25838643312454224
7,0.7485145926475525,0.25148484110832214,0.0009999999,0.7428873181343079,0.25711286067962646
8,0.7527809143066406,0.247220978140831,0.0009999999,0.7458841800689697,0.25411611795425415
9,0.7561476230621338,0.2438509613275528,0.0009999999,0.746899425983429,0.2531004250049591
10,0.7599247694015503,0.24007661640644073,0.0009999999,0.749650776386261,0.2503490746021271
11,0.7632648348808289,0.23673522472381592,0.0009999999,0.7532860636711121,0.24671433866024017
12,0.7658702731132507,0.2341281920671463,0.0009999999,0.7573818564414978,0.24261829257011414
13,0.7697556018829346,0.23024354875087738,0.0009999999,0.7578173875808716,0.242183119058609
14,0.7725374698638916,0.22746162116527557,0.0009999999,0.7616078853607178,0.23839201033115387
15,0.7756596207618713,0.22433866560459137,0.0009999999,0.7628392577171326,0.23716071248054504
16,0.778182864189148,0.22181682288646698,0.0009999999,0.7672879099845886,0.23271194100379944
17,0.7804734110832214,0.2195252776145935,0.0009999999,0.7644515633583069,0.23554880917072296
18,0.7832159996032715,0.2167854607105255,9.999999e-05,0.7714169025421143,0.22858263552188873
19,0.7849767804145813,0.21502262353897095,9.999999e-05,0.7727923393249512,0.22720788419246674
